Output:
 time;model_id;model_name;port_name;data
0;1;counter_model;;{sigma: inf, count: 0, increment: 1, countUp: 1}
0;2;direction_generator;;{sigma: 13, nextBool: 0}
0;3;increment_generator;;{sigma: 3, nextInt: 1}
3;1;counter_model;;{sigma: 0.1, count: 0, increment: 1, countUp: 1}
3;3;increment_generator;int_out;1
3;3;increment_generator;;{sigma: 3, nextInt: 3}
3.1;1;counter_model;count_out;0
3.1;1;counter_model;;{sigma: inf, count: 1, increment: 1, countUp: 1}
6;1;counter_model;;{sigma: 0.1, count: 1, increment: 3, countUp: 1}
6;3;increment_generator;int_out;3
6;3;increment_generator;;{sigma: 3, nextInt: 5}
6.1;1;counter_model;count_out;1
6.1;1;counter_model;;{sigma: inf, count: 4, increment: 3, countUp: 1}
9;1;counter_model;;{sigma: 0.1, count: 4, increment: 5, countUp: 1}
9;3;increment_generator;int_out;5
9;3;increment_generator;;{sigma: 3, nextInt: 4}
9.1;1;counter_model;count_out;4
9.1;1;counter_model;;{sigma: inf, count: 9, increment: 5, countUp: 1}
12;1;counter_model;;{sigma: 0.1, count: 9, increment: 4, countUp: 1}
12;3;increment_generator;int_out;4
12;3;increment_generator;;{sigma: 3, nextInt: 4}
12.1;1;counter_model;count_out;9
12.1;1;counter_model;;{sigma: inf, count: 13, increment: 4, countUp: 1}
13;1;counter_model;;{sigma: 0.1, count: 13, increment: 4, countUp: 0}
13;2;direction_generator;bool_out;0
13;2;direction_generator;;{sigma: 13, nextBool: 1}
13.1;1;counter_model;count_out;13
13.1;1;counter_model;;{sigma: inf, count: 9, increment: 4, countUp: 0}
15;1;counter_model;;{sigma: 0.1, count: 9, increment: 4, countUp: 0}
15;3;increment_generator;int_out;4
15;3;increment_generator;;{sigma: 3, nextInt: 1}
15.1;1;counter_model;count_out;9
15.1;1;counter_model;;{sigma: inf, count: 5, increment: 4, countUp: 0}
18;1;counter_model;;{sigma: 0.1, count: 5, increment: 1, countUp: 0}
18;3;increment_generator;int_out;1
18;3;increment_generator;;{sigma: 3, nextInt: 3}
18.1;1;counter_model;count_out;5
18.1;1;counter_model;;{sigma: inf, count: 4, increment: 1, countUp: 0}
21;1;counter_model;;{sigma: 0.1, count: 4, increment: 3, countUp: 0}
21;3;increment_generator;int_out;3
21;3;increment_generator;;{sigma: 3, nextInt: 5}
21.1;1;counter_model;count_out;4
21.1;1;counter_model;;{sigma: inf, count: 1, increment: 3, countUp: 0}
24;1;counter_model;;{sigma: 0.1, count: 1, increment: 5, countUp: 0}
24;3;increment_generator;int_out;5
24;3;increment_generator;;{sigma: 3, nextInt: 4}
24.1;1;counter_model;count_out;1
24.1;1;counter_model;;{sigma: inf, count: -4, increment: 5, countUp: 0}
26;1;counter_model;;{sigma: 0.1, count: -4, increment: 5, countUp: 1}
26;2;direction_generator;bool_out;1
26;2;direction_generator;;{sigma: 13, nextBool: 0}
26.1;1;counter_model;count_out;-4
26.1;1;counter_model;;{sigma: inf, count: 1, increment: 5, countUp: 1}
27;1;counter_model;;{sigma: 0.1, count: 1, increment: 4, countUp: 1}
27;3;increment_generator;int_out;4
27;3;increment_generator;;{sigma: 3, nextInt: 4}
27.1;1;counter_model;count_out;1
27.1;1;counter_model;;{sigma: inf, count: 5, increment: 4, countUp: 1}
30;1;counter_model;;{sigma: 0.1, count: 5, increment: 4, countUp: 1}
30;3;increment_generator;int_out;4
30;3;increment_generator;;{sigma: 3, nextInt: 5}
30.1;1;counter_model;count_out;5
30.1;1;counter_model;;{sigma: inf, count: 9, increment: 4, countUp: 1}
33;1;counter_model;;{sigma: 0.1, count: 9, increment: 5, countUp: 1}
33;3;increment_generator;int_out;5
33;3;increment_generator;;{sigma: 3, nextInt: 1}
33.1;1;counter_model;count_out;9
33.1;1;counter_model;;{sigma: inf, count: 14, increment: 5, countUp: 1}
36;1;counter_model;;{sigma: 0.1, count: 14, increment: 1, countUp: 1}
36;3;increment_generator;int_out;1
36;3;increment_generator;;{sigma: 3, nextInt: 1}
36.1;1;counter_model;count_out;14
36.1;1;counter_model;;{sigma: inf, count: 15, increment: 1, countUp: 1}
39;1;counter_model;;{sigma: 0.1, count: 15, increment: 1, countUp: 0}
39;2;direction_generator;bool_out;0
39;2;direction_generator;;{sigma: 13, nextBool: 1}
39;3;increment_generator;int_out;1
39;3;increment_generator;;{sigma: 3, nextInt: 3}
39.1;1;counter_model;count_out;15
39.1;1;counter_model;;{sigma: inf, count: 14, increment: 1, countUp: 0}
42;1;counter_model;;{sigma: 0.1, count: 14, increment: 3, countUp: 0}
42;3;increment_generator;int_out;3
42;3;increment_generator;;{sigma: 3, nextInt: 3}
42.1;1;counter_model;count_out;14
42.1;1;counter_model;;{sigma: inf, count: 11, increment: 3, countUp: 0}
45;1;counter_model;;{sigma: 0.1, count: 11, increment: 3, countUp: 0}
45;3;increment_generator;int_out;3
45;3;increment_generator;;{sigma: 3, nextInt: 3}
45.1;1;counter_model;count_out;11
45.1;1;counter_model;;{sigma: inf, count: 8, increment: 3, countUp: 0}
48;1;counter_model;;{sigma: 0.1, count: 8, increment: 3, countUp: 0}
48;3;increment_generator;int_out;3
48;3;increment_generator;;{sigma: 3, nextInt: 4}
48.1;1;counter_model;count_out;8
48.1;1;counter_model;;{sigma: inf, count: 5, increment: 3, countUp: 0}
48.1;1;counter_model;;{sigma: inf, count: 5, increment: 3, countUp: 0}
48.1;2;direction_generator;;{sigma: 13, nextBool: 1}
48.1;3;increment_generator;;{sigma: 3, nextInt: 4}
