sep=;
time;model_id;model_name;port_name;data
0;2;step_gen;;{sigma: 2, step: 68}
0;4;counter_model;;{sigma: inf, count: 0, increment: 1, countUp: 1}
2;2;step_gen;step_out;68
2;2;step_gen;;{sigma: 2, step: 68}
2;4;counter_model;;{sigma: 0.1, count: 0, increment: 68, countUp: 1}
2.1;4;counter_model;count_out;0
2.1;4;counter_model;;{sigma: inf, count: 68, increment: 68, countUp: 1}
4;2;step_gen;step_out;68
4;2;step_gen;;{sigma: 2, step: 68}
4;4;counter_model;;{sigma: 0.1, count: 68, increment: 68, countUp: 1}
4.1;4;counter_model;count_out;68
4.1;4;counter_model;;{sigma: inf, count: 136, increment: 68, countUp: 1}
6;2;step_gen;step_out;68
6;2;step_gen;;{sigma: 2, step: 68}
6;4;counter_model;;{sigma: 0.1, count: 136, increment: 68, countUp: 1}
6.1;4;counter_model;count_out;136
6.1;4;counter_model;;{sigma: inf, count: 204, increment: 68, countUp: 1}
8;2;step_gen;step_out;68
8;2;step_gen;;{sigma: 2, step: 68}
8;4;counter_model;;{sigma: 0.1, count: 204, increment: 68, countUp: 1}
8.1;4;counter_model;count_out;204
8.1;4;counter_model;;{sigma: inf, count: 272, increment: 68, countUp: 1}
10;2;step_gen;step_out;68
10;2;step_gen;;{sigma: 2, step: 68}
10;4;counter_model;;{sigma: 0.1, count: 272, increment: 68, countUp: 1}
10.1;4;counter_model;count_out;272
10.1;4;counter_model;;{sigma: inf, count: 340, increment: 68, countUp: 1}
12;2;step_gen;step_out;68
12;2;step_gen;;{sigma: 2, step: 68}
12;4;counter_model;;{sigma: 0.1, count: 340, increment: 68, countUp: 1}
12.1;4;counter_model;count_out;340
12.1;4;counter_model;;{sigma: inf, count: 408, increment: 68, countUp: 1}
14;2;step_gen;step_out;68
14;2;step_gen;;{sigma: 2, step: 68}
14;4;counter_model;;{sigma: 0.1, count: 408, increment: 68, countUp: 1}
14.1;4;counter_model;count_out;408
14.1;4;counter_model;;{sigma: inf, count: 476, increment: 68, countUp: 1}
16;2;step_gen;step_out;68
16;2;step_gen;;{sigma: 2, step: 68}
16;4;counter_model;;{sigma: 0.1, count: 476, increment: 68, countUp: 1}
16.1;4;counter_model;count_out;476
16.1;4;counter_model;;{sigma: inf, count: 544, increment: 68, countUp: 1}
18;2;step_gen;step_out;68
18;2;step_gen;;{sigma: 2, step: 68}
18;4;counter_model;;{sigma: 0.1, count: 544, increment: 68, countUp: 1}
18.1;4;counter_model;count_out;544
18.1;4;counter_model;;{sigma: inf, count: 612, increment: 68, countUp: 1}
20;2;step_gen;step_out;68
20;2;step_gen;;{sigma: 2, step: 68}
20;4;counter_model;;{sigma: 0.1, count: 612, increment: 68, countUp: 1}
20.1;4;counter_model;count_out;612
20.1;4;counter_model;;{sigma: inf, count: 680, increment: 68, countUp: 1}
22;2;step_gen;step_out;68
22;2;step_gen;;{sigma: 2, step: 68}
22;4;counter_model;;{sigma: 0.1, count: 680, increment: 68, countUp: 1}
22.1;4;counter_model;count_out;680
22.1;4;counter_model;;{sigma: inf, count: 748, increment: 68, countUp: 1}
24;2;step_gen;step_out;68
24;2;step_gen;;{sigma: 2, step: 68}
24;4;counter_model;;{sigma: 0.1, count: 748, increment: 68, countUp: 1}
24.1;4;counter_model;count_out;748
24.1;4;counter_model;;{sigma: inf, count: 816, increment: 68, countUp: 1}
26;2;step_gen;step_out;68
26;2;step_gen;;{sigma: 2, step: 68}
26;4;counter_model;;{sigma: 0.1, count: 816, increment: 68, countUp: 1}
26.1;4;counter_model;count_out;816
26.1;4;counter_model;;{sigma: inf, count: 884, increment: 68, countUp: 1}
28;2;step_gen;step_out;68
28;2;step_gen;;{sigma: 2, step: 68}
28;4;counter_model;;{sigma: 0.1, count: 884, increment: 68, countUp: 1}
28.1;4;counter_model;count_out;884
28.1;4;counter_model;;{sigma: inf, count: 952, increment: 68, countUp: 1}
30;2;step_gen;step_out;68
30;2;step_gen;;{sigma: 2, step: 68}
30;4;counter_model;;{sigma: 0.1, count: 952, increment: 68, countUp: 1}
30.1;4;counter_model;count_out;952
30.1;4;counter_model;;{sigma: inf, count: 1020, increment: 68, countUp: 1}
32;2;step_gen;step_out;68
32;2;step_gen;;{sigma: 2, step: 68}
32;4;counter_model;;{sigma: 0.1, count: 1020, increment: 68, countUp: 1}
32.1;4;counter_model;count_out;1020
32.1;4;counter_model;;{sigma: inf, count: 1088, increment: 68, countUp: 1}
34;2;step_gen;step_out;68
34;2;step_gen;;{sigma: 2, step: 68}
34;4;counter_model;;{sigma: 0.1, count: 1088, increment: 68, countUp: 1}
34.1;4;counter_model;count_out;1088
34.1;4;counter_model;;{sigma: inf, count: 1156, increment: 68, countUp: 1}
36;2;step_gen;step_out;68
36;2;step_gen;;{sigma: 2, step: 68}
36;4;counter_model;;{sigma: 0.1, count: 1156, increment: 68, countUp: 1}
36.1;4;counter_model;count_out;1156
36.1;4;counter_model;;{sigma: inf, count: 1224, increment: 68, countUp: 1}
38;2;step_gen;step_out;68
38;2;step_gen;;{sigma: 2, step: 68}
38;4;counter_model;;{sigma: 0.1, count: 1224, increment: 68, countUp: 1}
38.1;4;counter_model;count_out;1224
38.1;4;counter_model;;{sigma: inf, count: 1292, increment: 68, countUp: 1}
40;2;step_gen;step_out;68
40;2;step_gen;;{sigma: 2, step: 68}
40;4;counter_model;;{sigma: 0.1, count: 1292, increment: 68, countUp: 1}
40.1;4;counter_model;count_out;1292
40.1;4;counter_model;;{sigma: inf, count: 1360, increment: 68, countUp: 1}
42;2;step_gen;step_out;68
42;2;step_gen;;{sigma: 2, step: 68}
42;4;counter_model;;{sigma: 0.1, count: 1360, increment: 68, countUp: 1}
42.1;4;counter_model;count_out;1360
42.1;4;counter_model;;{sigma: inf, count: 1428, increment: 68, countUp: 1}
44;2;step_gen;step_out;68
44;2;step_gen;;{sigma: 2, step: 68}
44;4;counter_model;;{sigma: 0.1, count: 1428, increment: 68, countUp: 1}
44.1;4;counter_model;count_out;1428
44.1;4;counter_model;;{sigma: inf, count: 1496, increment: 68, countUp: 1}
46;2;step_gen;step_out;68
46;2;step_gen;;{sigma: 2, step: 68}
46;4;counter_model;;{sigma: 0.1, count: 1496, increment: 68, countUp: 1}
46.1;4;counter_model;count_out;1496
46.1;4;counter_model;;{sigma: inf, count: 1564, increment: 68, countUp: 1}
48;2;step_gen;step_out;68
48;2;step_gen;;{sigma: 2, step: 68}
48;4;counter_model;;{sigma: 0.1, count: 1564, increment: 68, countUp: 1}
48.1;4;counter_model;count_out;1564
48.1;4;counter_model;;{sigma: inf, count: 1632, increment: 68, countUp: 1}
48.1;2;step_gen;;{sigma: 2, step: 68}
48.1;4;counter_model;;{sigma: inf, count: 1632, increment: 68, countUp: 1}
